order_id,product,category,quantity,unit_price,region,date
1,Laptop,Electronics,2,3500.00,North,2024-01-05
2,Mouse,Electronics,5,120.00,South,2024-01-07
3,Desk,Furniture,1,800.00,East,2024-01-10
4,Chair,Furniture,3,450.00,North,2024-01-12
5,Keyboard,Electronics,4,200.00,West,2024-01-15
6,Monitor,Electronics,2,1200.00,East,2024-01-18
7,Bookshelf,Furniture,2,350.00,South,2024-01-20
8,Headphones,Electronics,6,300.00,North,2024-01-22
9,Lamp,Furniture,4,150.00,West,2024-01-25
10,Tablet,Electronics,3,1800.00,South,2024-01-28
11,Printer,Electronics,1,900.00,East,2024-02-02
12,Webcam,Electronics,5,250.00,North,2024-02-05
13,Cabinet,Furniture,1,600.00,West,2024-02-08
14,Speaker,Electronics,3,400.00,South,2024-02-10
15,Sofa,Furniture,1,2200.00,East,2024-02-14
16,Laptop,Electronics,1,3500.00,West,2024-02-17
17,Mouse,Electronics,8,120.00,North,2024-02-20
18,Chair,Furniture,2,450.00,South,2024-02-22
19,Monitor,Electronics,3,1200.00,West,2024-02-25
20,Desk,Furniture,2,800.00,North,2024-02-28
