order_id,product,category,quantity,unit_price,region,date,total_value
1,Laptop,Electronics,2,3500.0,North,2024-01-05,7000.0
2,Mouse,Electronics,5,120.0,South,2024-01-07,600.0
3,Desk,Furniture,1,800.0,East,2024-01-10,800.0
4,Chair,Furniture,3,450.0,North,2024-01-12,1350.0
5,Keyboard,Electronics,4,200.0,West,2024-01-15,800.0
6,Monitor,Electronics,2,1200.0,East,2024-01-18,2400.0
7,Bookshelf,Furniture,2,350.0,South,2024-01-20,700.0
8,Headphones,Electronics,6,300.0,North,2024-01-22,1800.0
9,Lamp,Furniture,4,150.0,West,2024-01-25,600.0
10,Tablet,Electronics,3,1800.0,South,2024-01-28,5400.0
11,Printer,Electronics,1,900.0,East,2024-02-02,900.0
12,Webcam,Electronics,5,250.0,North,2024-02-05,1250.0
13,Cabinet,Furniture,1,600.0,West,2024-02-08,600.0
14,Speaker,Electronics,3,400.0,South,2024-02-10,1200.0
15,Sofa,Furniture,1,2200.0,East,2024-02-14,2200.0
16,Laptop,Electronics,1,3500.0,West,2024-02-17,3500.0
17,Mouse,Electronics,8,120.0,North,2024-02-20,960.0
18,Chair,Furniture,2,450.0,South,2024-02-22,900.0
19,Monitor,Electronics,3,1200.0,West,2024-02-25,3600.0
20,Desk,Furniture,2,800.0,North,2024-02-28,1600.0
