event_time,user_id,category,amount,status
2026-06-03 15:39:26,u006,electronics,285.23,paid
2026-06-03 15:39:31,u011,food,141.61,cancelled
2026-06-03 15:39:50,u027,electronics,268.23,pending
2026-06-03 15:40:18,u047,books,72.73,pending
2026-06-03 15:40:50,u031,sports,77.75,paid
2026-06-03 15:40:58,u029,books,343.69,cancelled
2026-06-03 15:41:42,u022,sports,181.15,cancelled
2026-06-03 15:41:58,u009,electronics,50.05,pending
2026-06-03 15:43:18,u020,sports,449.26,paid
2026-06-03 15:44:10,u030,food,174.05,paid
2026-06-03 15:45:47,u031,electronics,333.79,paid
2026-06-03 15:45:50,u044,food,155.37,paid
2026-06-03 15:45:53,u034,food,186.37,paid
2026-06-03 15:46:14,u029,sports,71.37,paid
2026-06-03 15:46:18,u003,books,157.9,paid
2026-06-03 15:46:18,u018,electronics,291.73,paid
2026-06-03 15:46:46,u021,electronics,297.5,paid
2026-06-03 15:47:58,u043,sports,293.85,cancelled
2026-06-03 15:49:14,u035,food,479.66,cancelled
2026-06-03 15:49:34,u005,sports,172.6,paid
2026-06-03 15:52:10,u025,sports,270.53,paid
2026-06-03 15:52:46,u043,sports,325.66,pending
2026-06-03 15:52:53,u036,food,126.73,paid
2026-06-03 15:53:14,u002,sports,349.33,paid
2026-06-03 15:53:26,u039,food,248.59,cancelled
2026-06-03 15:54:14,u035,books,322.99,pending
2026-06-03 15:56:04,u028,books,223.43,cancelled
2026-06-03 15:56:19,u049,sports,339.17,paid
2026-06-03 15:56:34,u017,electronics,466.58,paid
2026-06-03 15:56:34,u025,electronics,78.03,cancelled
2026-06-03 15:56:59,u047,electronics,240.2,paid
2026-06-03 15:57:14,u034,sports,235.85,cancelled
2026-06-03 15:57:29,u029,electronics,115.2,paid
2026-06-03 15:57:42,u007,food,353.28,paid
2026-06-03 15:58:21,u003,books,220.81,paid
2026-06-03 15:58:36,u043,electronics,226.67,paid
2026-06-03 15:58:50,u050,electronics,318.84,pending
2026-06-03 15:58:51,u027,sports,236.91,paid
2026-06-03 15:58:54,u028,sports,328.6,paid
2026-06-03 15:59:01,u035,food,291.25,paid
2026-06-03 15:59:11,u043,electronics,262.57,cancelled
2026-06-03 15:59:19,u050,sports,348.01,pending
2026-06-03 15:59:36,u009,food,454.11,paid
2026-06-03 15:59:39,u012,food,70.8,paid
